Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in Kentucky

,,"Crime rate per 100,000 population",,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1960,   3038156,          97.3,           6.7,           5.4,,          32.9,          52.3,       1115.4,         371.1,         619.8,         124.5 
1961,   3076000,          94.5,           6.5,           4.7,,          35.3,          48.0,       1105.4,         366.4,         630.8,         108.3 
1962,   3082000,          96.1,           6.5,           5.7,,          36.4,          47.5,       1235.2,         415.6,         703.8,         115.8 
1963,   3095000,          92.1,           5.6,           5.4,,          35.8,          45.3,       1345.1,         436.4,         780.6,         128.1 
1964,   3159000,         110.4,           5.2,           8.0,,          36.1,          61.0,       1472.8,         461.3,         868.3,         143.3 
1965,   3179000,         108.9,           5.3,           6.6,,          36.7,          60.4,       1480.8,         444.8,         884.3,         151.7 
1966,   3183000,         131.7,           7.0,           8.3,,          42.8,          73.5,       1606.7,         482.6,         896.4,         227.7 
1967,   3189000,         140.6,           7.2,           9.1,,          47.1,          77.2,       1715.6,         482.9,         950.9,         281.8 
1968,   3229000,         164.7,           8.9,          10.2,,          60.1,          85.4,       1826.4,         522.5,         971.7,         332.2 
1969,   3232000,         177.8,          10.4,          11.4,,          69.2,          86.7,       1987.1,         569.3,       1072.0,         345.9 
1970,   3219311,         222.3,          11.1,          13.7,,          72.8,         124.7,       2261.8,         703.9,       1211.5,         346.3 
1971,   3282000,         235.1,          10.9,          14.9,,          77.4,         131.9,       2246.6,         719.0,       1195.4,         332.3 
1972,   3299000,         225.7,           9.8,          15.7,,          83.2,         117.1,       2007.9,         650.2,       1075.9,         281.8 
1973,   3342000,         220.1,           9.7,          16.3,,          85.1,         109.1,       2045.2,         679.7,       1139.2,         226.2 
1974,   3357000,         234.0,          10.3,          17.6,,          92.3,         113.7,       2525.7,         830.1,       1466.8,         228.8 
1975,   3396000,         264.0,          10.2,          15.4,,         103.2,         135.3,       3000.3,         962.8,       1774.2,         263.4 
1976,   3428000,         262.2,          10.6,          17.8,,          98.7,         135.1,       3034.7,         930.2,       1857.7,         246.8 
1977,   3458000,         233.6,          10.1,          19.1,,          81.1,         123.3,       2779.8,         872.2,       1662.1,         245.4 
1978,   3498000,         223.2,           9.0,          20.7,,          81.3,         112.1,       2799.9,         884.6,       1664.7,         250.6 
1979,   3527000,         248.0,           9.5,          20.4,,          92.1,         126.1,       2935.9,         909.6,       1770.1,         256.2 
1980,   3641479,         266.7,           8.8,          19.2,,          95.2,         143.5,       3167.1,       1040.8,       1875.5,         250.7 
1981,   3661000,         289.5,           8.4,          20.9,,         100.7,         159.5,       3242.0,       1062.4,       1944.7,         235.0 
1982,   3667000,         315.0,           9.7,          20.0,,          97.3,         188.0,       3253.4,       1029.1,       1991.3,         233.1 
1983,   3714000,         322.2,           9.8,          22.0,,          87.1,         203.3,       3112.6,         977.0,       1920.4,         215.2 
1984,   3723000,         277.8,           6.6,          22.2,,          70.7,         178.4,       2680.7,         785.2,       1715.3,         180.2 
1985,   3726000,         305.5,           6.9,          21.6,,          75.7,         201.3,       2641.7,         771.3,       1677.2,         193.2 
1986,   3728000,         334.4,           6.7,          23.1,,          82.5,         222.2,       2757.8,         824.2,       1740.4,         193.2 
1987,   3727000,         337.8,           7.5,          21.0,,          90.2,         219.1,       2932.2,         847.1,       1892.5,         192.7 
1988,   3721000,         330.1,           6.2,          22.4,,          74.3,         227.3,       2804.7,         826.3,       1792.8,         185.5 
1989,   3727000,         356.9,           7.9,          24.6,,          76.1,         248.3,       2960.2,         819.1,       1921.4,         219.8 
1990,   3685296,         390.4,           7.2,          29.0,,          69.1,         285.2,       2909.1,         766.9,       1942.7,         199.4 
1991,   3713000,         438.0,           6.8,          35.4,,          83.1,         312.7,       2920.3,         796.6,       1909.1,         214.6 
1992,   3755000,         535.5,           5.8,          32.2,,          87.2,         410.4,       2788.1,         729.1,       1842.5,         216.5 
1993,   3789000,         462.7,           6.6,          34.3,,          90.4,         331.4,       2797.0,         740.1,       1840.7,         216.2 
1994,   3827000,         444.0,           6.4,          35.3,,          93.9,         308.4,       2893.3,         750.4,       1919.2,         223.6 
